"We rely too much on the first piece of information given (the ""anchor"") and then evaluate other options in relation to that anchor.",Anchoring / Contrast effect / Focusing effect
Our perception is affected by our current thinking; so we fail to consider alternative possibilities.,Attentional bias
If we can recall something; it must be more important than alternative solutions not as easily recalled.,Availability heuristic
We focus on specific; anecdotal information over generic; base rate information.,Base rate fallacy
We see bias at work in other people's judgment but not in our own.,Bias blind spot
We remember bizarre / humorous material more easily than non-bizarre / funny material.,Bizarreness effect / Humor effect
We search for; interpret; favor; and recall information in a way that confirms our preexisting beliefs.,Confirmation bias
We're more likely to try to prove our hypothesis than to disprove it,Congruence bias
We revise our beliefs insufficiently when presented with new evidence,Conservatism
We fail to recall information without memory cues.,Context effect / cue-dependent forgetting / mood-congruent memory bias
If we learn a false truth; we continue to be influenced by it even if we have since learnt it is false.,Continued influence effect
We observe more differences if we compare two products at the same time vs. separately.,Distinction bias
We underestimate how much visceral drives influence our attitudes; preferences; and behaviors.,Empathy gap
Our expectations during obvservation can bias the outcome.,Experimenter's bias / Observer effect / Expectation bias
We react to choices differently depending on how it's presented. We avoid risk when a positive frame is presented and seek risk when a negative frame is presented.,Framing effect
After we learn new information we start noticing it everywhere.,Frequency illusion / Baader-Meinhof Phenomenon
We believe information is correct if we're repeatedly exposed to it.,Illusory truth effect
We develop a preference for things because we are familiar with them.,Mere exposure effect
We think of money in nominal instead of real terms.,Money illusion
If people disagree with us; we assume they do so because of egocentric biases.,Naive cynicism
We believe what we see in the world is objective reality; and other people who have different perceptions are uninformed.,Naive realism
We are more affected by negative things than by equally positive things.,Negativity bias
We subconsciously influence / bias the participants of an experiment,Observer-expectancy effect
We judge harmful actions as worse than equally harmful inactions.,Omission bias
We avoid information may cause psychological discomfort.,Ostrich effect
We remember images more than words.,Picture superiority effect
We retroactively assign positive attributues to a purchase we just made.,Post-purchase rationalization / Choice-supportive bias
We tend to not notice / more quickly forget stimuli that causes emotional discomfort and contradicts our prior beliefs.,Selective perception
We have an easier time relating to concepts when we see ourselves in that concept.,Self-relevance effect
We reflexively reject new evidence if it contradicts established norms.,Semmelweis reflex
We consider information to be correct if it has any personal meaning or significance to us,Subjective validation
We remember things that stand out from a group of similar items.,Von Restorff effect
Our perceived change of a sensation is not proportionate to the actual change of the stimuli.,Weber-Fechner law
We believe personal; specific examples vs. general; statistical information.,Anecdotal fallacy
We attribute human traits; emotions; and intentions to non-human entities.,Anthropomorphism
We take something for granted because it will probably be the case.,Appeal to probability fallacy
We conclude the argument is false because the argument contains a fallacy.,Argument from fallacy
We believe authority figures and be more influenced by their opinions.,Authority bias
We favor suggestions from automated decision-making systems and ignore contradictory information made without automation; even if it is correct.,Automation bias
We do things because other people are doing them; regardless of our own beliefs.,Bandwagon effect
We think individuals are more attractive when they are in a group.,Cheerleader effect
"We erroneously consider ""streaks"" or ""clusters"" arising in small samples from random distributions to be non-random.",Clustering illusion
We unknowingly confuse imagined scenarios with actual memories.,Confabulation
We tend to recognize the faces of the race we are most familiar with.,Cross-race effect
We unknowingly assume that someone has the knowledge or background to understand something.,Curse of knowledge
We believe (without evidence) that a society or institution is going towards decline or failure.,Declinism
We are less likely to spend larger bills than the equivalent value in smaller bills.,Denomination effect
We believe every entity has a set of attributes that are necessary to its identity and function.,Essentialism
We attribute more extrinsic incentives than intrinsic incentives when evaluating the motives of others vs. ourselves.,Extrinsic incentive bias
We only use an object in the way it was intended to be used.,Functional fixedness
We believe that if something happens more frequently for a period of time; it will happen less frequently in the future.,Gambler's fallacy
We believe characteristics of an individual are representative of a group; or that a group's decision is representative of all individuals within it.,Group attribution error
Our overall impression of someone / something influences our feelings about that entity's character or properties.,Halo effect
After an event has occurred; we believe we could have predicted the event; despite little or no objective basis for predicting it,Hindsight bias
We believe that a person who has experienced success with a seemingly random event has a greater chance of further success in additional attempts.,Hot-hand fallacy
We think we perceive more about other people than they perceive about us.,Illusion of asymmetric insight
We search for and hold onto the most rewarding view of an event.,Illusion of external agency
We overestimate the degree to which our personal mental state is known by others.,Illusion of transparency
We overestimate our ability to use data to accurately predict an outcome; especially when the data analyzed tells a coherent story.,Illusion of validity
We perceive relationships that don't exist between variables.,Illusory correlation
We overestimate the length/intensity of future feelings states.,Impact bias
We favor members of our in-group over out-group members.,In-group bias
We judge the probability of obtaining a sample statistic without respect to the sample size.,Insensitivity to sample size
We attribute consequences to or expect consequences as the result of a universal force that restores moral balance.,Just-world hypothesis
We can only hold 7+/-2 objects in our short term memory.,Magic number 7+-2
We conclude that if one object has a certain property; while another object does not have the same property; the two objects cannot be identical.,Masked man fallacy
We code; categorize and evaluate the same resource (i.e. money) differently based on how we frame the related transaction.,Mental accounting
We use a history of doing good and altrustic things to create an unconscious license that increases our likelihood of less altruistic decisions later.,Moral credential effect
We assign blame or praise to a moral agent for consequences that are uncontrolled.,Moral luck
"We think; ""Anything that can go wrong will go wrong.""",Murphy's Law
We disregard probability when making a decision.,Neglect of probability
We underestimate the possibility of disaster and assume things will always function as normal.,Normalcy bias
We avoid using products; ideas; or services of external origin.,Not invented here
We perceive people outside our group lack the diversity of those within our group.,Out-group homogeneity bias
We let the outcome of a decision affect our evaluation of the decision quality.,Outcome bias
We perceive familiar patterns where none exisits (specifically in sounds or images).,Pareidolia
We exaggerate the likelihood that negative things will happen to us.,Pessimism bias
We perceive an improvement in condition due to personal expectations; rather than the treatment itself.,Placebo effect
We underestimate how long it will take us to complete a future task.,Planning fallacy
As we age; we attend to and remember more positive than negative information.,Positivity effect
We believe innovation should be adopted by all society and cannot see that innovation's weaknesses.,Pro-innovation bias
We project current preferences onto future events.,Projection bias
We devalue an idea if it appears to come from an antagonist.,Reactive devaluation
We believe a concept is of recent origin when in fact it is long-established.,Recency illusion
We overestimate our ability to control impulsive behavior.,Restraint bias
We judge the past disproportionately more positively than we judge the present.,Rosy retrospection
We think we are more consistent in our attitudes; opinions; and beliefs than we actually are.,Self-consistency bias
We think we're being noticed more than we really are.,Spotlight effect
We overgeneralize group characteristics or behaviors.,Stereotyping
We judge the probability of the whole to be less than the probabilities of the parts.,Subadditivity effect
We focus on the people who made it past the selection process and ignore those who did not.,Survivorship bias
We perceive recent events as being more remote than they are and distant events as being more recent than they are.,Telescoping effect
We misestimate the time that could be saved (or lost) when increasing (or decreasing) speed.,Time-saving bias
We explain an outgroup's negative behaviour as flaws in their personality and a positive behaviour as a result of chance or circumstance. We do the opposite for ingroup behavior.,Ultimate attribution error
We think well-traveled routes are are shorter than they actually are. We do the opposite for unfamiliar routes.,Well-traveled road effect
We judge a situation to be zero-sum when it is actually non-zero-sum.,Zero sum bias
We are more likely to attribute our own actions to a particular situation vs. a generalization about our personality. We do the opposite with those we observe.,Actor-observer bias / Fundamental attribution error
