 I'm worthless. ,anger,
 Is it a hoax?,anger,
 Was that wrong?,anger,
And it was revolting. ,anger,disgust
anger,anger,
anger and acrimony and outrage,anger,anger-fury
But we know that that's bullshit at times. ,anger,
Fuck them. ,anger,
furious and angry as how he felt,anger,anger-fury
fury and hatred fuel down,anger,anger-fury
he was a raffle man,anger,
he was an angry and impatient and violent man,anger,
How ridiculous is that?,anger,
I am angry at that social media tweet,anger,
"I asked, ""Do you always get angry?",anger,
I don't know what to do is so great an awful,anger,
I was so angry with him. ,anger,
if all this shit's going on?,anger,
It makes me hate war. ,anger,
"It's a completely ridiculous, totally un-sexy word. ",anger,
mother had quite a temper fit children doing clean their room,anger,anger-fury
rage and anger fueled the revenge,anger,anger-fury
she blew up at our team and yelled at them when they didn't finish their work,anger,
she felt furious and full of rage,anger,anger-fury
she had a sour look on her face and was clearly cross,anger,
she was an angry and impatient foreman,anger,
she was doing and she planned her revenge,anger,anger-fury
she was outraged and angry as she planned her revenge,anger,anger-fury
she was the average person you can imagine,anger,
that such a hateful thing to say,anger,
the argument grew heated and it was furious,anger,
the boss was angry when the work didn't get completed,anger,
the bosses fury and anger were not to be toyed with,anger,
the children were furious that eating the tripe,anger,
the dog was furious it's phone had been taken,anger,anger-fury
the fiery anger came to the front,anger,
the nasty people,anger,
the team was furious when that things didn't get delivered,anger,
the young man had quite a temper sometimes a violent one,anger,
"Then one woman stood up and was so angry, screaming and yelling. ",anger,
there was widespread anger against politicians,anger,
they were outraged offended and angry at what happened,anger,
"We had from the sublime to the ridiculous, but they worked. ",anger,anger-fury
you are a jerk,anger,
you could tell the crowd had rage and resentment towards them,anger,
You have paralysis. ,anger,
you made me feel mad and angry,anger,
You're wrong. ,anger,
 Diarrhea?,disgust,
 Smoke a cigarette?,disgust,
 Vegetably?,disgust,
And it was revolting. ,disgust,disgust-revolting
Boy. ,disgust,
disgusting,disgust,
he disliked it and said it was slimy and gross,disgust,
he disliked the taste it was disgusting,disgust,
he had a dislike for tea seafood it was disgusting and gross,disgust,
How ridiculous is that?,disgust,
I threw up when I saw how disgusting it was,disgust,
it was a repulsive smell and taste in the restaurant,disgust,
it was a vile state of the messiness room,disgust,
it was revolting and disgusting,disgust,disgust-revolting
It's a mess. ,disgust,
nasty noxious and gross,disgust,
revolting and gross,disgust,
the old socks smelled rotten repellent odor,disgust,
the rotten fruit had a repugnant smell,disgust,disgust-revolting
the site of the disgusting dish made him nauseous feel sick,disgust,
the smell in the child's room was revolting and offensive,disgust,disgust-revolting
vile ugly and moldy,disgust,
What a waste. ,disgust,
when discussed it she felt nauseous and sick,disgust,
when he ate the food it takes a gross and he spotted out,disgust,
a little timid,fear,fear-timid
And it was revolting. ,fear,
And then he died. ,fear,
"Day seven, they show the classic scars of smallpox umbilication. ",fear,
Extremely dangerous work. ,fear,
he was a little intimidated,fear,
he was afraid of his own shadow,fear,
he was just nervous nervous nervous,fear,fear-timid
he was scared stiff when he saw the spider,fear,
he was timid and rattled after the car accident,fear,fear-timid
he's a nervous flier,fear,fear-timid
How ridiculous is that?,fear,
I am scared it's such a scary time to be around,fear,
I am terrified,fear,fear-terror
I bet you're worried. I was worried. ,fear,
I don't have a problem with that. ,fear,
