mackenzie,mackenzie-wake-up
McKenzie,mackenzie-wake-up
Mackenzie,mackenzie-wake-up
mackenzie,mackenzie-wake-up
McGrath,mackenzie-wake-up
Magra,mackenzie-wake-up
Kenzie,mackenzie-wake-up
Hello MacKenzie,mackenzie-wake-up
Hi MacKenzie,mackenzie-wake-up
Hi McKenzie,mackenzie-wake-up
Hello MacKenzie,mackenzie-wake-up
Wake up MacKenzie,mackenzie-wake-up
Wake up,salutations
Hello,salutations
Hi,salutations
Hey,salutations
Good Morning,salutations
Good Morning Mackenzie,mackenzie-wake-up
I am talking,talking
red,color-trigger
orange,color-trigger
yellow,color-trigger
green ,color-trigger
blue ,color-trigger
indigo,color-trigger
violet,color-trigger
one ,number-trigger
two,number-trigger
three,number-trigger
four,number-trigger
five,number-trigger
six,number-trigger
seven,number-trigger
eight,number-trigger
nine,number-trigger
ten,number-trigger
just some normal conversation,talking
talking about things here and there,talking
I like to eat food,talking
and jump in puddles,talking
my internet is slow,talking
the dog is nice,talking
I like to go to school,talking
install package,r-command-install
load libaray,r-command-load-lib
load data set,r-command-load-data
please install pacakge,r-command-install
please load library,r-command-load-lib
please load data set,r-command-load-data
please plot * using a * visualization,r-command-plot-image
show me an image representing *,r-command-plot-image
show me a graph of *,r-command-plot-image
generate a visualzation showing me *,r-command-plot-image
"show me, visually, the image of *",r-command-plot-image
show me a graph of * compared to *,r-command-plot-image
email the results of * to *,r-command-email-results
email results to me,r-command-email-results
email results to *,r-command-email-results
email results to leadership team,r-command-email-results
