Achievement striving,Gryffindor,Slytherin
Activity level,Gryffindor,Slytherin
Adventurousness,Gryffindor,Slytherin
Agreeableness,Hufflepuff,
Altruism,Hufflepuff,Gryffindor
Anger,Slytherin,
Anxiety,Hufflepuff,
Artistic interests,Ravenclaw,Gryffindor
Assertiveness,Gryffindor,Slytherin
Cautiousness,Hufflepuff,
Challenge,Gryffindor,
Cheerfulness,Hufflepuff,
Closeness,Ravenclaw,
Conscientiousness,Hufflepuff,
Conservation,Ravenclaw,Hufflepuff
Cooperation,Hufflepuff,
Curiosity,Ravenclaw,
Depression,Slytherin,
Dutifulness,Hufflepuff,Gryffindor
Emotionality,Gryffindor,
Excitement,Gryffindor,Slytherin
Excitement-seeking,Gryffindor,Slytherin
Extraversion,Gryffindor,Slytherin
Friendliness,Hufflepuff,Gryffindor
Gregariousness,Gryffindor,
Harmony,Hufflepuff,
Hedonism,Slytherin,Gryffindor
Ideal,Gryffindor,
Imagination,Ravenclaw,Gryffindor
Immoderation,Slytherin,
Intellect,Ravenclaw,
Liberalism,Gryffindor,
Liberty,Gryffindor,
Love,Hufflepuff,
Modesty,Hufflepuff,
Morality,Gryffindor,Ravenclaw
Neuroticism,Hufflepuff,
Openness,Gryffindor,
Openness to change,Gryffindor,
Orderliness,Ravenclaw,Hufflepuff
Practicality,Hufflepuff,
Self-consciousness,Hufflepuff,
Self-discipline,Slytherin,Gryffindor
Self-efficacy,Gryffindor,
Self-enhancement,Gryffindor,Slytherin
Self-expression,Gryffindor,
Self-transcendence,Gryffindor,Slytherin
Stability,Hufflepuff,
Structure,Ravenclaw,
Sympathy,Hufflepuff,
Trust,Gryffindor,Hufflepuff
Vulnerability,Hufflepuff,
