French : Abondance  A firm- fruity and nutty cheese from the French Alps. Made in 20 pound wheels.,Abondance
Spanish : Afuega'l Pitu  This is a very ancient cheese made in Austurias in the valley formed by the rivers Nalon and Narcea. It is a fresh soft cheese made by lactic coagulation and molded or pressed by hand into a conical shape. It is made from pasteurized afternoon milk taken from Friesian- Ratina- Roxa or Carre•À_as cows. The taste is creamy- tending toward acidic- with a very natural- earthy aroma. It is white if recently made- but yellow- slightly moldy and granular if more cured. No matter the age- it always clings to the palate.,Afuega'l Pitu
Portuguese : Amarelo  An unpasteurized sheep's milk cheese from the Beira Baixa region. It is rugged and rustic- and has a touch of the saltiness of the sea. Not a cheese for the faint of heart- Amarelo has a distinctive aroma and a forceful yet buttery flavor.,Amarelo
Switzerland : Appenzeller  A natural- hard cheese that is similar to Emmental- although with smaller and fewer holes. It is cured in white wine and spices that give it a unique piquant flavor.,Appenzeller
Irish : Ardrahan  A washed-rind specialty from the Burns family farm in Duhallow. An aromatic cheese with a creamy- flavorful interior.,Ardrahan
"Spanish : Arzua Ulloa  This fresh Galician cheese is Nicknamed ""queixo do pais"" (cheese from the countryside). It has a smooth- waxy- yellow rind and a creamy- off-white interior. Arzua Ulloa is so soft you can almost spread it at room temperature and has a buttery flavor with hints of yogurt.",Arzua Ulloa
Italian : Asiago  From the high plateau of the same name- Asiago comes in two varieties :  d'Allevo is made from whole unpasteurized milk and is firm- sharp and nutty whereas Pressato is made from part-skim pasteurized milk and is soft and mild.,Asiago
Italian : Baita Friuli  A tasty- firm-textured cheese that is aged for about 5 months. Rich- fruity- and spicy- Baita's flavor is reminiscent of Swiss Gruyere.,Baita Friuli
French : Banon  A soft blended milk cheese from Provence with a creamy- slightly goaty character.,Banon
German : Bavarian Blue  Sold under brands like Paladin- Bavarian Blue is crumbly and lightly acidic and perfect for adding to salads.,Bavarian Blue
French : Beaufort  This giant 80 pound cheese is fruity and nutty. Hailing from the French Alps- it is a great melter and is often added to fondue.,Beaufort
American : Berkshire Blue  This cheese was born in 1999- borrowing a recipe from the blue made by the Willett Farm Dairy of Somerset- England. Berkshire Blue is made from whole unpasteurized Jersey cow's milk. Its production is done completely by hand- and by only one person. It is hand-stirred- hand-ladled and manually turned- resulting in an exceptionally creamy- smooth blue.,Berkshire Blue
Portuguese : Bica  A raw farmhouse cheese made from a blend of cow- goat- and sheep's milk. Bica has a distinctive yet mild- buttery flavor and a satiny texture. Like most Portuguese - Bica has a slightly salty flavor because its milk comes from animals that graze on land that sits by the sea.,Bica
Italian : Bitto della Valtellina  A rare cheese that is produced in alpine pastures often inaccessible to mechanized transport. Made from a blend of 90% cow and 10% goat's milk- its flavor and texture are similar to Fontina- yet with a more earthy character.,Bitto della Valtellina
French : Bleu de Gex  Unlike most blues- this one is not crumbly- but instead has a slightly springy texture. Made in the Haute Jura.,Bleu de Gex
French : Bleu d'Auvergne  Similar to Roquefort but made from cow's milk and not quite as sharp.,Bleu d'Auvergne
Holand / Dutch : Blue de Graven  A modified Gouda recipe that incorporates edible blue veins.,Blue de Graven
